Ativo,cod_Ativo_guess_norm,cod_Ativo_norm_match,Fundo,Fundo_final
LFT mar 30,LFTMAR30,,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LFT set 28,LFTSET28,,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LFT mar 29,LFTMAR29,,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LFT set 29,LFTSET29,,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
LFT jun 30,LFTJUN30,,BH FIRF INFRA,BH FIRF INFRA
NTN-B28,NTNB28,,BH FIRF INFRA,BH FIRF INFRA
NTN-B30,NTNB30,,BH FIRF INFRA,BH FIRF INFRA
LFT mar 27,LFTMAR27,,BH FIRF INFRA,BH FIRF INFRA
NTN-B32,NTNB32,,BH FIRF INFRA,BH FIRF INFRA
LFT mar 27,LFTMAR27,,BMG SEG,BMG SEG
LFT mar 26,LFTMAR26,,BMG SEG,BMG SEG
LFT set 26,LFTSET26,,BMG SEG,BMG SEG
LFT set 28,LFTSET28,,BMG SEG,BMG SEG
LFT set 27,LFTSET27,,BMG SEG,BMG SEG
NTN-B30,NTNB30,,BMG SEG,BMG SEG
NTN-B 29,NTNB29,,BMG SEG,BMG SEG
LFT mar 27,LFTMAR27,,BORDEAUX INFRA,BORDEAUX INFRA
LFT set 29,LFTSET29,,BORDEAUX INFRA,BORDEAUX INFRA
LFT jun 30,LFTJUN30,,FIRF GERAES,FIRF GERAES
LFT mar 30,LFTMAR30,,FIRF GERAES,FIRF GERAES
LFT set 26,LFTSET26,,FIRF GERAES,FIRF GERAES
LFT mar 26,LFTMAR26,,FIRF GERAES 30,FIRF GERAES 30
LFT set 30,LFTSET30,,GLOBAL BONDS,GLOBAL BONDS
LFT set 26,LFTSET26,,HORIZONTE,HORIZONTE
LFT mar 28,LFTMAR28,,HORIZONTE,HORIZONTE
LFT mar 27,LFTMAR27,,MANACA INFRA FIRF,MANACA INFRA FIRF
LFT jun 30,LFTJUN30,,MANACA INFRA FIRF,MANACA INFRA FIRF
LFT mar 30,LFTMAR30,,MANACA INFRA FIRF,MANACA INFRA FIRF
LFT mar 27,LFTMAR27,,TOPAZIO INFRA,TOPAZIO INFRA
LFT set 28,LFTSET28,,TOPAZIO INFRA,TOPAZIO INFRA
NTN-B26,NTNB26,,TOPAZIO INFRA,TOPAZIO INFRA
PRIOBZ00001,PRIOBZ00001,,HORIZONTE,HORIZONTE
LF00240072E,LF00240072E,LF00240072E,BMG SEG,BMG SEG
CDB3251WXH0,CDB3251WXH0,CDB3251WXH0,BMG SEG,BMG SEG
Provisão,PROVISAO,,AF DEB INCENTIVADAS,AF DEB INCENTIVADAS
Provisão,PROVISAO,,ALFA HORIZON FIA,ALFA HORIZON FIA
Provisão,PROVISAO,,BBRASIL FIM CP RESP,BBRASIL FIM CP RESP
Provisão,PROVISAO,,BH FIRF INFRA,BH FIRF INFRA
Provisão,PROVISAO,,BMG SEG,BMG SEG
Provisão,PROVISAO,,BORDEAUX INFRA,BORDEAUX INFRA
Provisão,PROVISAO,,FIA MINAS,FIA MINAS
Provisão,PROVISAO,,FIRF GERAES,FIRF GERAES
Provisão,PROVISAO,,FIRF GERAES 30,FIRF GERAES 30
Provisão,PROVISAO,,GLOBAL BONDS,GLOBAL BONDS
Provisão,PROVISAO,,HORIZONTE,HORIZONTE
Provisão,PROVISAO,,MANACA INFRA FIRF,MANACA INFRA FIRF
Provisão,PROVISAO,,MINAS DIVIDENDOS,MINAS DIVIDENDOS
Provisão,PROVISAO,,MINAS O.N.E. FIA,MINAS O.N.E. FIA
Provisão,PROVISAO,,ROMEU FC FIM CP IE,ROMEU FC FIM CP IE
Provisão,PROVISAO,,TOPAZIO INFRA,TOPAZIO INFRA
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES,FIRF GERAES
LFSN250093T,LFSN250093T,LFSN250093T,FIRF GERAES 30,FIRF GERAES 30
LFSN250093T,LFSN250093T,LFSN250093T,HORIZONTE,HORIZONTE
LFSN1900008,LFSN1900008,LFSN1900008,FIRF GERAES,FIRF GERAES
LFSN1800HXO,LFSN1800HXO,LFSN1800HXO,FIRF GERAES,FIRF GERAES
LFSN1800D4X,LFSN1800D4X,LFSN1800D4X,FIRF GERAES,FIRF GERAES
